"laser speed";"laser power";"hatch spacing";"vm_avg";"disp_sq";"cauchy_sq"
0.467969262;0.206633963;0.505605471;0.4189173;0.424362894;0.602684009
0.878151636;0.532504683;0.670089241;0.911163359;0.324639646;1.605386084
0.303721852;0.32728977;0.623302718;0.570682188;0.679970529;1.249399924
0.447615967;0.551034012;0.726816087;0.700123003;0.590934256;1.422283099
0.445540493;0.336784615;0.773135112;0.825153588;0.351222594;1.533316478
0.767877114;0.433937922;0.879040618;0.569715312;0.25965308;0.611523306
0.44469778;0.346995248;0.945649134;0.796137826;0.316834136;1.36839868
0.642542078;0.385088575;0.657635122;0.818596318;0.341196951;1.432526972
0.586935211;0.263478256;0.594626404;0.453652051;0.357504923;0.655142402
0.233066118;0.170892018;0.519808395;0.51307787;0.595771072;1.016202703
0.458369558;0.620527864;0.986463634;0.792587932;0.501871344;1.590705914
0.867209004;0.900925555;0.830793875;0.744018359;0.453093421;1.412399605
0.787055874;0.522909554;0.922672061;0.914086206;0.249778704;1.368166088
0.449416909;0.271244383;0.4460922;0.691115948;0.501544774;1.324177084
0.964594841;0.498328605;0.55536646;0.885824659;0.314234375;1.702833473
0.764811502;0.431652403;0.617425519;0.854146949;0.32170329;1.522470673
0.802614499;0.454851937;0.816774645;0.64912859;0.272517592;0.896128643
0.884746835;0.797958109;0.780841931;0.774906537;0.381575064;1.493470441
0.928644897;0.576332378;0.748192241;0.953316324;0.276787789;1.671863506
0.886383621;0.501653765;0.719350825;0.883291085;0.282896657;1.445625288
0.160774777;0.152777011;0.566690377;0.561096116;0.643575247;1.314649203
0.833249514;0.530784032;0.711032356;0.912295404;0.296717549;1.597464009
0.707578359;0.384641206;0.797040739;0.552608413;0.287360769;0.790368193
0.802176017;0.680592957;0.94167173;0.92634709;0.290736863;1.703287845
0.150953701;0.164372765;0.953618837;0.587265822;0.482996833;1.037205155
0.709382603;0.477885079;0.978053867;0.873911527;0.236553718;1.237385948
0.400795518;0.312717545;0.879621705;0.786305871;0.346859067;1.638257467
0.76124505;0.47187632;0.867561745;0.833435954;0.26977375;1.269327173
0.763859034;0.903757726;0.843372422;0.807535953;0.473233767;1.642425771
0.732065893;0.526061065;0.994285545;0.939597952;0.238629044;1.435565729
0.436831101;0.310940543;0.682892069;0.783295064;0.384500738;1.457691397
0.574759916;0.345706366;0.882070611;0.55235701;0.291576989;0.654437255
0.549694991;0.504712828;0.932223595;0.847599345;0.324913037;1.581519081
0.644412845;0.663040509;0.785323492;0.702270338;0.479052539;1.410876663
0.687986067;0.604663436;0.77920617;0.777992125;0.403464871;1.587892541
0.683830558;0.640295573;0.938400525;0.855778321;0.345894639;1.625955998
0.923577063;0.548412402;0.502775964;0.74611468;0.455968715;1.514123151
0.435793198;0.479825604;0.589387315;0.638004033;0.674726582;1.407579616
0.472603428;0.553725658;0.640300066;0.652080769;0.629793815;1.381989844
